Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	7030	4195	59.7		
2020-04-23	7117	4296	60.4		
2020-04-24	7186	4423	61.6	533	7.4
2020-04-25	7150	4377	61.2	529	7.4
2020-04-26	7098	4303	60.6		
2020-04-27	6974	4402	63.1	464	6.7
2020-04-28	6988	4388	62.8	464	6.6
2020-04-29	7146	4488	62.8	452	6.3
2020-04-30	7180	4520	63.0	454	6.3
2020-05-01	7141	4506	63.1	435	6.1
2020-05-02	6895	4351	63.1	383	5.6
2020-05-03	6864	4289	62.5	374	5.4
2020-05-04	6770	4289	63.4	362	5.3
2020-05-05	7113	4590	64.5	349	4.9
2020-05-06	7071	4605	65.1	350	4.9
2020-05-07	7152	4659	65.1	363	5.1
2020-05-08	7024	4564	65.0	350	5.0
2020-05-09	7065	4564	64.6	329	4.7
2020-05-10	6988	4500	64.4	318	4.6
2020-05-11	6901	4389	63.6	321	4.7
2020-05-12	7022	4518	64.3	321	4.6
2020-05-13	7322	4850	66.2	283	3.9
2020-05-14	7037	4625	65.7	273	3.9
2020-05-15	7015	4576	65.2	267	3.8
2020-05-16	7061	4654	65.9	238	3.4
2020-05-17	6986	4543	65.0	217	3.1
2020-05-18	6879	4398	63.9	213	3.1
2020-05-19	7047	4484	63.6	209	3.0
2020-05-20	6995	4676	66.8	192	2.7
2020-05-21	6987	4655	66.6	188	2.7
2020-05-22	6973	4677	67.1	179	2.6
2020-05-23	6965	4590	65.9	167	2.4
2020-05-24	6919	4555	65.8	162	2.3
2020-05-25	6590	4258	64.6	149	2.3
2020-05-26	6948	4522	65.1	153	2.2
2020-05-27	7023	4762	67.8	134	1.9
2020-05-28	6999	4803	68.6	135	1.9
2020-05-29	6976	4778	68.5	132	1.9
2020-05-30	7021	4678	66.6	131	1.9
2020-05-31	6900	4659	67.5	141	2.0
2020-06-01	6564	4380	66.7	125	1.9
2020-06-02	6648	4403	66.2	121	1.8
2020-06-03	6909	4600	66.6	114	1.7
2020-06-04	6976	4743	68.0	114	1.6
2020-06-05	7010	4823	68.8	112	1.6
2020-06-06	7014	4806	68.5	105	1.5
2020-06-07	6943	4757	68.5	106	1.5
2020-06-08	6756	4548	67.3	97	1.4
2020-06-09	6971	4719	67.7	91	1.3
2020-06-11	7022	4851	69.1	80	1.1
2020-06-12	7022	4851	69.1	80	1.1
2020-06-13	6897	4522	65.6	83	1.2
2020-06-14	6791	4553	67.0	77	1.1
2020-06-15	6671	4418	66.2	77	1.2
2020-06-16	6872	4569	66.5	79	1.1
2020-06-17	6965	4741	68.1	72	1.0
2020-06-18	7002	4770	68.1	77	1.1
2020-06-19	7007	4840	69.1	76	1.1
2020-06-20	7006	4871	69.5	70	1.0
2020-06-21	6937	4753	68.5	68	1.0
2020-06-22	6839	4582	67.0	69	1.0
2020-06-23	7046	4708	66.8	76	1.1
2020-06-24	7036	4783	68.0	76	1.1
2020-06-25	7159	4950	69.1	80	1.1
2020-06-26	7089	4840	68.3	79	1.1
2020-06-27	7056	4808	68.1	81	1.1
2020-06-28	7140	4849	67.9	79	1.1
2020-06-29	7041	4692	66.6	79	1.1
2020-06-30	7151	4848	67.8	76	1.1
2020-07-01	7198	4984	69.2	70	1.0
2020-07-02	7216	4969	68.9	70	1.0
2020-07-03	7146	4936	69.1	78	1.1
2020-07-04	7171	4894	68.2	82	1.1
2020-07-05	7068	4758	67.3	73	1.0
2020-07-06	6952	4520	65.0	71	1.0
2020-07-07	7144	4703	65.8	71	1.0
2020-07-08	7198	4817	66.9	72	1.0
2020-07-09	7054	4730	67.1	76	1.1
2020-07-10	7072	4797	67.8	67	0.9
2020-07-11	7084	4832	68.2	67	0.9
2020-07-12	7060	4775	67.6	63	0.9
2020-07-13	6685	4464	66.8	61	0.9
2020-07-14	7081	4705	66.4	67	0.9
2020-07-15	7180	4925	68.6	63	0.9
2020-07-16	7147	4902	68.6	59	0.8
2020-07-17	7185	4971	69.2	60	0.8
2020-07-18	7176	4933	68.7	63	0.9
2020-07-19	7076	4742	67.0	59	0.8
2020-07-20	6869	4518	65.8	58	0.8
2020-07-21	7173	4752	66.2	60	0.8
2020-07-22	7105	4850	68.3	67	0.9
2020-07-23	7117	4852	68.2	61	0.9
2020-07-24	7167	4816	67.2	53	0.7
2020-07-25	7170	4866	67.9	58	0.8
2020-07-26	7246	4907	67.7	58	0.8
2020-07-27	7110	4776	67.2	67	0.9
2020-07-28	7315	4940	67.5	63	0.9
2020-07-29	7341	4995	68.0	61	0.8
2020-07-30	7371	5001	67.8	69	0.9
2020-07-31	7386	5000	67.7	71	1.0
2020-08-01	7433	5033	67.7	69	0.9
2020-08-02	7359	5012	68.1	77	1.0
2020-08-03	7084	4828	68.2	77	1.1
2020-08-04	7340	4920	67.0	73	1.0
2020-08-05	7094	4756	67.0	72	1.0
